"risk.k"	"alpha.at.conception.k"	"sire.k"	"infant.ID.k"	"infant.name.k"	"infant.DOB.k"	"infant.DOC.k"	"infant.mother.k"	"infant.sex.k"	"infant.birthgroup.k"	"infant.DOD.k"	"infant.CauseOfDeath.k"	"infant.alive.k"	"infant.AgeAtDeath.k"	"takeover.date.k"	"infant.ageattakeover.k"	"infant.over1yr.k"
"129"	"GS"	"Winston"	""	49	"Chico"	1991-11-01	1991-05-25	"Limp F"	"M"	"CP"	1994-02-01	"Unknown"	0	823	"93-01-01"	"427"	"Y"
"130"	"AMR"	"Winston"	""	155	"Pepe"	1992-04-30	1991-11-22	"Chops F"	"M"	"CP"	1993-02-11	"Unknown"	0	287	"93-01-01"	"246"	"N"
"131"	"AMR"	"Winston"	""	224	"Tuft92"	1992-05-18	1991-12-10	"Tuft F"	"M"	"CP"	1993-02-11	"Unknown"	0	269	"93-01-01"	"228"	"N"
"132"	"AMR"	"Winston"	""	23	"Blanche92"	1992-11-01	1992-05-25	"Blanche F"	"M"	"CP"	1993-02-01	"Unknown"	0	92	"93-01-01"	"61"	"N"
"133"	"GS"	"Nose"	"Nose"	172	"Pumba"	1993-10-01	1993-06-24	"Tuft F"	"F"	"CP"	2004-05-04	"Unknown"	0	3868	"07-09-01"	"0"	"Y"
"134"	"GS"	"Nose"	"?"	198	"Simba1"	1993-12-01	1993-06-24	"Blanche F"	"M"	"CP"	1996-01-08	"Unknown"	0	768	"07-09-01"	"0"	"Y"
"135"	"GS"	"Nose"	"Nose"	144	"Nyla"	1994-01-09	1993-08-02	"Limp F"	"F"	"CP"	2005-02-21	"Unknown"	0	4061	"07-09-01"	"0"	"Y"
"136"	"GS"	"Nose"	"Nose"	175	"Rafiki"	1996-05-16	1995-12-08	"Limp F"	"M"	"CP"	2007-08-06	"Missing"	0	4099	"07-09-01"	"0"	"Y"
"137"	"GS"	"Nose"	"Nose"	217	"Timone"	1996-05-16	1995-12-08	"Seria F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"4125"	"Y"
"138"	"GS"	"Nose"	"Nose"	197	"Simba"	1998-08-05	1998-02-26	"Limp F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"3314"	"Y"
"139"	"GS"	"Nose"	"Nose"	241	"Zazu"	1999-02-02	1998-08-26	"Seria F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"3133"	"Y"
